"mu","sigma","d","S","N","mu_est","sigma_est","d_est"
0,2.55,10,10,10,0.021359102396179,2.56591253128515,10.1922319215656
1,2.55,10,10,10,1.02235960363028,2.56850878300507,10.2235960363028
2,2.55,10,10,10,1.99993047622059,2.55003011115144,9.99990211505591
-2,3.775,10,10,10,-1.99982751606481,3.77493742189846,9.99986338404009
-1,3.775,10,10,10,-1.00045761107503,3.77518267996577,10.0010160596592
0,3.775,10,10,10,-0.0262282063235585,3.73699852972651,10.314349356126
1,3.775,10,10,10,0.999999845817944,3.77500008725303,9.99999985983449
2,3.775,10,10,10,1.99996628144323,3.77498939270402,9.99997190120269
-2,5,10,10,10,-1.99976419334522,5.00009825277283,10.0017685499109
-1,5,10,10,10,-1.01810124331048,5.0075230985433,10.0407799652245
0,5,10,10,10,0.181749493445387,4.69850696756154,13.0021831844194
1,5,10,10,10,1,5,10
2,5,10,10,10,1.99990315742895,5.00007388086652,9.99990269943252
-2,0.1,5,100,10,-2,0.1,5
-1,0.1,5,100,10,-1,0.1,5
0,0.1,5,100,10,1.61804994518279e-06,0.0999999838060522,4.99999919095686
1,0.1,5,100,10,0.999997521966127,0.0999999774724193,5.00002140120163
2,0.1,5,100,10,2.00846321433096,0.0175773072377347,5.02398430747262
-2,1.325,5,100,10,-2.00096481386935,1.32604622003957,5.01145716469848
-1,1.325,5,100,10,-0.999909783503903,1.32498913301297,4.99995899250177
0,1.325,5,100,10,4.18527977592497e-05,1.32498624193422,5.00042642302083
1,1.325,5,100,10,0.989364024255092,1.32380102246633,5.08793857842815
2,1.325,5,100,10,2.00012588105796,1.32497915094978,4.99992132433877
-2,2.55,5,100,10,-1.99975399260067,2.54994315719653,4.99989143702832
-1,2.55,5,100,10,-0.633515465162585,2.79820998041261,8.16509370995949
0,2.55,5,100,10,0.151469165783166,2.66704092876772,6.31378660526273
1,2.55,5,100,10,0.999822117546821,2.54995876361313,4.99991914433946
2,2.55,5,100,10,1.95833945075325,2.56395519587423,5.16607673006607
-2,3.775,5,100,10,-2,3.775,5
-1,3.775,5,100,10,-1,3.775,5
0,3.775,5,100,10,0,3.775,5
1,3.775,5,100,10,1,3.775,5
2,3.775,5,100,10,2,3.775,5
-2,5,5,100,10,-2,5,5
-1,5,5,100,10,-1,5,5
0,5,5,100,10,0,5,5
1,5,5,100,10,1,5,5
2,5,5,100,10,2,5,5
-2,0.1,6.25,100,10,-1.99999903769761,0.100002119461862,6.24999869943187
-1,0.1,6.25,100,10,-0.999999012051507,0.0999999910186501,6.24999943866563
0,0.1,6.25,100,10,0,0.1,6.25
1,0.1,6.25,100,10,1.00000000028278,0.100000000311055,6.25000000123921
2,0.1,6.25,100,10,2.00000074968507,0.100000928651439,6.24999941327436
-2,1.325,6.25,100,10,-2.01466204900368,1.35949666217076,6.41014780549442
-1,1.325,6.25,100,10,-0.990434381978266,1.32986595992665,6.35939173784349
0,1.325,6.25,100,10,-0.000143504816993496,1.32512449042874,6.24991030948938
1,1.325,6.25,100,10,0.982920140116208,1.30271680937791,6.47219180040754
2,1.325,6.25,100,10,2,1.325,6.25
-2,2.55,6.25,100,10,-2.0248596854788,2.55038948556189,6.43088065997883
-1,2.55,6.25,100,10,-1,2.55,6.25
0,2.55,6.25,100,10,-0.0031502043018304,2.55164519020693,6.2482556931494
1,2.55,6.25,100,10,0.999089647626628,2.55108153946893,6.24930070856943
2,2.55,6.25,100,10,1.99976005779262,2.54994382561641,6.24986388178712
-2,3.775,6.25,100,10,-1.9998762623972,3.77511817337828,6.24987497929199
-1,3.775,6.25,100,10,-0.999998662884602,3.77500075668576,6.24999924027534
0,3.775,6.25,100,10,-0.000623425707786768,3.77476465679531,6.24961035893263
1,3.775,6.25,100,10,1.05825790247393,3.81529504921113,6.8568531507701
2,3.775,6.25,100,10,2,3.775,6.25
-2,5,6.25,100,10,-2,5,6.25
-1,5,6.25,100,10,-1,5,6.25
0,5,6.25,100,10,0,5,6.25
1,5,6.25,100,10,1,5,6.25
2,5,6.25,100,10,2,5,6.25
-2,0.1,7.5,100,10,-1.99999220407799,0.100005714080027,7.49999606003074
-1,0.1,7.5,100,10,-0.999998542577724,0.100000666886624,7.4999987990422
0,0.1,7.5,100,10,0,0.1,7.5
1,0.1,7.5,100,10,0.947665497175445,0.0997935069690651,7.93781698390587
2,0.1,7.5,100,10,1.99939315070549,0.100873157374451,7.50815828859967
-2,1.325,7.5,100,10,-2,1.325,7.5
-1,1.325,7.5,100,10,-0.999999999999912,1.32499999999999,7.49999999999994
0,1.325,7.5,100,10,-1.51573705268155e-06,1.32500131490189,7.50001402056774
1,1.325,7.5,100,10,1.00000002663395,1.32500002567217,7.50000027373786
2,1.325,7.5,100,10,1.98894875944469,1.33001182973376,7.57282940140503
-2,2.55,7.5,100,10,-2,2.55,7.5
-1,2.55,7.5,100,10,-0.903942687058791,2.35467036795942,8.53046691474246
0,2.55,7.5,100,10,-0.000199010329572113,2.55053970777843,7.49974229937604
1,2.55,7.5,100,10,0.643551747298688,2.69966711763447,10.3287663636058
2,2.55,7.5,100,10,1.99986872697717,2.55008149866834,7.49991795436073
-2,3.775,7.5,100,10,-1.97458916788465,3.78818188436467,7.69587528580073
-1,3.775,7.5,100,10,-1.11885633856471,3.74461195415126,8.67811701904123
0,3.775,7.5,100,10,0.00228006355153014,3.77647064041118,7.50160999251441
1,3.775,7.5,100,10,1,3.775,7.5
