"mu","sigma","d","S","N","mu_est","sigma_est","d_est"
1,2.55,6.25,100,100,0.999626566899285,2.55025849638296,6.2497864959389
2,2.55,6.25,100,100,2.01716496970626,2.62441936416924,6.59493680618699
-2,3.775,6.25,100,100,-1.97744909484906,3.78669828204705,6.42617894649174
-1,3.775,6.25,100,100,-0.995773410144859,3.77739186562257,6.2475985284914
0,3.775,6.25,100,100,-0.0600410867357472,3.75233448975726,6.81288518814763
1,3.775,6.25,100,100,0.995478472191931,3.77367843665923,6.24783069804486
2,3.775,6.25,100,100,2.03358603797337,3.75915158833132,6.64358638250045
-2,5,6.25,100,100,-2,5,6.25
-1,5,6.25,100,100,-1,5,6.25
0,5,6.25,100,100,0,5,6.25
1,5,6.25,100,100,1,5,6.25
2,5,6.25,100,100,2,5,6.25
-2,0.1,7.5,100,100,-1.99997845783061,0.100014973645357,7.49998465807739
-1,0.1,7.5,100,100,-0.999999475203311,0.10000047231702,7.49999964218407
0,0.1,7.5,100,100,1.2163645858907e-06,0.0999998940746211,7.4999989929483
1,0.1,7.5,100,100,0.999999999999997,0.0999999999999999,7.5
2,0.1,7.5,100,100,2,0.1,7.5
-2,1.325,7.5,100,100,-2.0034753454733,1.32947136396521,7.49560847727293
-1,1.325,7.5,100,100,-1.00216093777969,1.32745451274399,7.49842460306021
0,1.325,7.5,100,100,0.0212464915806312,1.31404128368311,7.56713406821668
1,1.325,7.5,100,100,1,1.325,7.5
2,1.325,7.5,100,100,1.98937186323979,1.32382647656606,7.58192522085994
-2,2.55,7.5,100,100,-2.06236468043307,2.60807697414736,8.22109133694508
-1,2.55,7.5,100,100,-1.00200173528692,2.55186507571314,7.49829801908206
0,2.55,7.5,100,100,0.00176059377240769,2.54955104858804,7.49867955467069
1,2.55,7.5,100,100,0.999999999859209,2.54999999996736,7.49999999990401
2,2.55,7.5,100,100,1.81233915973286,2.66650610499918,8.94655231039251
-2,3.775,7.5,100,100,-2.00018471833776,3.77514373395657,7.49982682655835
-1,3.775,7.5,100,100,-1,3.775,7.5
0,3.775,7.5,100,100,0.000855037118539731,3.77553226060629,7.4993587221611
1,3.775,7.5,100,100,1,3.775,7.5
2,3.775,7.5,100,100,2.00118836127687,3.77440465103381,7.49918371451763
-2,5,7.5,100,100,-1.65291811830386,4.85538254929328,7.28307382393991
-1,5,7.5,100,100,-0.999496975824136,5.00508579096315,7.56767504653398
0,5,7.5,100,100,8.12361224885082e-06,4.99999593819388,7.49999390729081
1,5,7.5,100,100,1.00246918063439,5.00858463216547,7.49691034307053
2,5,7.5,100,100,1.97882862492427,5.00882140582426,7.66319602004108
-2,0.1,8.75,100,100,-1.99999275250922,0.100005979179891,8.74999471537131
-1,0.1,8.75,100,100,-0.42975693468489,0.476471311354179,8.44969942486613
0,0.1,8.75,100,100,-1.47705387340374e-06,0.100001462283335,8.74999870757786
1,0.1,8.75,100,100,1.00446503821906,0.0999503884642326,8.79527052638772
2,0.1,8.75,100,100,2.05106467558364,0.02495045553937,8.76482663859256
-2,1.325,8.75,100,100,-1.83867073151107,1.37212099441354,9.78768785689322
-1,1.325,8.75,100,100,-1.0020727636838,1.32477390864692,8.74839906633941
0,1.325,8.75,100,100,-0.101627304049413,1.37525239800758,8.6722697609055
1,1.325,8.75,100,100,0.914240352445203,1.41292350950919,9.4933221756278
2,1.325,8.75,100,100,2,1.325,8.75
-2,2.55,8.75,100,100,-1.72904462251597,2.73059931277889,10.6933776774713
-1,2.55,8.75,100,100,-0.993772637809911,2.5542176225742,8.7450464164397
0,2.55,8.75,100,100,0.364223523488148,2.52030269089399,9.52000591621153
1,2.55,8.75,100,100,0.994082968610938,2.55174942457956,8.81221516174037
2,2.55,8.75,100,100,1.9981402120121,2.55115461837582,8.74864390459216
-2,3.775,8.75,100,100,-2.07815904965003,3.83581751050893,9.64150166007068
-1,3.775,8.75,100,100,-1.00074317913403,3.774688277641,8.7492774647308
0,3.775,8.75,100,100,-0.00735895612511882,3.76917539629321,8.73899159860191
1,3.775,8.75,100,100,1.00067276116328,3.78046128997992,9.4807863452362
2,3.775,8.75,100,100,2.00834400095918,3.77961950644854,8.74241061398533
-2,5,8.75,100,100,-2.00233808599019,4.99796880199175,8.74802808475767
-1,5,8.75,100,100,-1.00102988440283,4.99942515706244,8.74901870223861
0,5,8.75,100,100,-0.0599859709569188,4.9699859775342,9.29731686604859
1,5,8.75,100,100,1.0066935540177,4.99628135887906,8.74349237803835
2,5,8.75,100,100,2.01033521577464,4.99354049014085,8.86788605492954
-2,0.1,10,100,100,-2,0.1,10
-1,0.1,10,100,100,-0.999995794168044,0.10000378524876,9.9999961765164
0,0.1,10,100,100,0.0176275495377203,0.0998237245046228,10.0180981682671
1,0.1,10,100,100,1.00369535983,0.00145803067249365,9.9968931399414
2,0.1,10,100,100,1.93393847428345,0.0994494872856954,10.4954614428741
-2,1.325,10,100,100,-1.98148061429621,1.32295515116187,10.1388953927784
-1,1.325,10,100,100,-0.997126467838281,1.32726617195481,9.9973876980348
0,1.325,10,100,100,-0.0123215797413928,1.31803216535199,10.0893214596837
1,1.325,10,100,100,0.995486961740969,1.32571290649031,10.1158688151542
2,1.325,10,100,100,2,1.325,10
-2,2.55,10,100,100,-2,2.55,10
-1,2.55,10,100,100,4.09730636159092,1.36835320921801,5.36585425640352
0,2.55,10,100,100,1.79580141460073e-09,2.55000000133787,9.9999999982042
1,2.55,10,100,100,1,2.55,10
2,2.55,10,100,100,2.00005241929103,2.55006957232248,10.0004095076587
-2,3.775,10,100,100,-2.00560914921573,3.78303425156001,9.99401129767635
-1,3.775,10,100,100,-1.12379273429391,3.68895367012215,10.8613895136587
0,3.775,10,100,100,-0.000132787099981942,3.7751897805435,10.0016365091884
1,3.775,10,100,100,0.999999997951613,3.7750000011592,9.99999999813783
2,3.775,10,100,100,1.99897952355111,3.77467897511712,9.99914960295926
-2,5,10,100,100,-1.99482767080092,5.00043376161111,9.99527483145805
-1,5,10,100,100,-1,5,10
0,5,10,100,100,0.0230690802482751,5.00988932289211,9.98776373074847
1,5,10,100,100,0.980476268065077,5.00887442360678,10.1597396249221
2,5,10,100,100,1.95024847049885,5.12780210484859,10.2316363433535
-2,0.1,5,10,10,-1.99992240731791,0.100071578389269,5.0001115828859
-1,0.1,5,10,10,-1,0.1,5
0,0.1,5,10,10,-1.41232741103363e-08,0.0999999998587675,4.99999999293836
1,0.1,5,10,10,1.00038396869556,0.100852609282242,5.00226588246007
2,0.1,5,10,10,1.96354421211177,0.130891642653367,5.04994124100935
-2,1.325,5,10,10,-2.00000002275917,1.32499999623051,4.99999998577552
-1,1.325,5,10,10,-1,1.325,5
0,1.325,5,10,10,-1.9273240321789e-05,1.3250167195359,4.99999036337987
1,1.325,5,10,10,0.999999994438064,1.32499999933004,4.99999999747185
2,1.325,5,10,10,2.01156474617469,1.3370038051296,5.1320354942176
-2,2.55,5,10,10,-2.00003185201848,2.54996229578703,4.99999310921512
-1,2.55,5,10,10,-1.00000321873253,2.55000274398652,4.99999824749874
0,2.55,5,10,10,1.95887729653421e-07,2.54999995004863,4.99999990205614
1,2.55,5,10,10,1.37304450389748,2.85879795044847,8.93769198558451
2,2.55,5,10,10,2.00000888213696,2.55000827149004,4.9999944486644
-2,3.775,5,10,10,-2,3.775,5
-1,3.775,5,10,10,-1,3.775,5
0,3.775,5,10,10,0,3.775,5
1,3.775,5,10,10,1,3.775,5
2,3.775,5,10,10,2,3.775,5
-2,5,5,10,10,-2,5,5
-1,5,5,10,10,-1,5,5
0,5,5,10,10,0,5,5
1,5,5,10,10,1,5,5
2,5,5,10,10,2,5,5
-2,0.1,6.25,10,10,-0.260343491649887,0.000819540142183871,8.13304860312383
-1,0.1,6.25,10,10,-1.00000001204732,0.100000002602776,6.24999999163381
0,0.1,6.25,10,10,0,0.1,6.25
1,0.1,6.25,10,10,-0.213064889351259,0.0927921212323842,6.74988590499269
2,0.1,6.25,10,10,0.595153422761519,0.0575576831563629,8.08905602152688
-2,1.325,6.25,10,10,-2,1.325,6.25
-1,1.325,6.25,10,10,-0.999999992639205,1.32500000580499,6.24999999581773
0,1.325,6.25,10,10,-0.206825790814743,0.31366273458505,9.80538726408928
1,1.325,6.25,10,10,1.34800967786977,1.30932639325006,9.6300282638299
2,1.325,6.25,10,10,2.00000458529027,1.3249994504425,6.24999646876666
-2,2.55,6.25,10,10,-1.99999999967866,2.5500000001995,6.24999999983263
-1,2.55,6.25,10,10,-1.00407028989505,2.55336929552424,6.29239885307346
0,2.55,6.25,10,10,-7.21969565629631e-07,2.54999981589776,6.24999954876902
1,2.55,6.25,10,10,0.999970390084029,2.54999314285496,6.24998317804713
2,2.55,6.25,10,10,2.00003341311756,2.54999687244961,6.24997834015785
-2,3.775,6.25,10,10,-2.41606486418215,4.09875047277074,11.1257600861095
-1,3.775,6.25,10,10,-1,3.775,6.25
0,3.775,6.25,10,10,1.80336015705395e-08,3.77500001122592,6.25000016906501
1,3.775,6.25,10,10,0.999999989191256,3.77499999629064,6.24999999385867
2,3.775,6.25,10,10,1.99999992490847,3.77500003895373,6.24999996088983
-2,5,6.25,10,10,-2,5,6.25
-1,5,6.25,10,10,-1,5,6.25
0,5,6.25,10,10,0,5,6.25
1,5,6.25,10,10,1,5,6.25
2,5,6.25,10,10,2,5,6.25
-2,0.1,7.5,10,10,-2,0.1,7.5
-1,0.1,7.5,10,10,-0.999999999980061,0.100000000017117,7.49999999999257
0,0.1,7.5,10,10,0,0.1,7.5
1,0.1,7.5,10,10,1,0.1,7.5
2,0.1,7.5,10,10,1.95001935484812,0.181453582285172,7.48381635031018
-2,1.325,7.5,10,10,-2.00003864588493,1.32504190679379,7.50044684527357
-1,1.325,7.5,10,10,-0.956949801462803,1.50995322596049,4.68819976277638
0,1.325,7.5,10,10,0,1.325,7.5
1,1.325,7.5,10,10,1.0578751399672,0.104737667380509,9.4728433321627
2,1.325,7.5,10,10,1.56635664954705,1.65068682308201,11.0286981326059
-2,2.55,7.5,10,10,-1.9999517149035,2.54998973941699,7.49996982181469
-1,2.55,7.5,10,10,-0.993529496381413,2.54850001961569,7.5544110531563
0,2.55,7.5,10,10,-0.000114115896954654,2.54997090044628,7.50105557204683
1,2.55,7.5,10,10,0.999967016699153,2.55004382420036,7.49995595733141
2,2.55,7.5,10,10,2,2.55,7.5
-2,3.775,7.5,10,10,-1.99988168923873,3.77506727803946,7.49993582049506
-1,3.775,7.5,10,10,-0.998999404551994,3.77556624606054,7.4993177758307
0,3.775,7.5,10,10,-0.351256280493231,3.64240075411381,10.7491205945624
1,3.775,7.5,10,10,1,3.775,7.5
2,3.775,7.5,10,10,1.99998306362694,3.77499467209931,7.49998941476684
-2,5,7.5,10,10,-1.91329742663441,5.02696660229789,7.40741369879782
-1,5,7.5,10,10,-0.999971131561969,5.00001312201727,7.49998031697405
0,5,7.5,10,10,-0.012183346697674,4.99391029233476,7.61575542446669
1,5,7.5,10,10,1.00001464308775,4.99999186795665,7.49998778731929
2,5,7.5,10,10,2,5,7.5
-2,0.1,8.75,10,10,-1.99999992728054,0.099999999303561,8.74999993906159
-1,0.1,8.75,10,10,-0.999996409206398,0.0999999673564218,8.74999714368691
0,0.1,8.75,10,10,-0.0160113979085822,0.114355915403029,8.78387112902054
1,0.1,8.75,10,10,1,0.1,8.75
2,0.1,8.75,10,10,2,0.1,8.75
-2,1.325,8.75,10,10,-1.9999999990945,1.32500000073409,8.74999999957987
-1,1.325,8.75,10,10,-1,1.325,8.75
0,1.325,8.75,10,10,0.00535872741702423,1.32900411803825,8.77412871266661
1,1.325,8.75,10,10,1.00000008940914,1.32499998683699,8.74999991307445
2,1.325,8.75,10,10,2.1018308881387,1.31345134483102,9.86495566017481
-2,2.55,8.75,10,10,-2.06156942675218,2.62652296868549,9.12083233144308
-1,2.55,8.75,10,10,-1.02980678311862,2.54155474478306,9.05218244473475
0,2.55,8.75,10,10,0,2.55,8.75
1,2.55,8.75,10,10,1.01768187425433,2.55879838840063,8.86365857635979
2,2.55,8.75,10,10,2.03181153438301,2.5398790541083,9.11279254193314
-2,3.775,8.75,10,10,-2,3.775,8.75
-1,3.775,8.75,10,10,-0.800715758629607,3.72478372419306,10.1748526190374
0,3.775,8.75,10,10,0.20780070153561,3.64632006461994,9.83985259349709
1,3.775,8.75,10,10,0.999947660211944,3.77498308817938,8.74995755554741
2,3.775,8.75,10,10,2.11473961391183,3.71100630578255,10.1595314254531
-2,5,8.75,10,10,-2.00001166526273,4.99999270921079,8.74998724111888
-1,5,8.75,10,10,-0.999971182410564,4.99998690466534,8.74997707312254
0,5,8.75,10,10,6.80344182517411e-12,5.0000000000034,8.74999999999405
1,5,8.75,10,10,1.01323493252044,5.00735274028913,8.88418751027667
2,5,8.75,10,10,1.99989466446499,5.00004388980625,8.75080098896414
-2,0.1,10,10,10,-2,0.1,10
-1,0.1,10,10,10,-1.0185785703373,0.119103501070678,10.0335437928262
0,0.1,10,10,10,2.2393454747965e-09,0.10000000468538,10.0000000045442
1,0.1,10,10,10,0.999999977091296,0.0999999997922497,9.99999997917412
2,0.1,10,10,10,1.99999990009136,0.0999999990273169,9.99999990273169
-2,1.325,10,10,10,-2.00010341353396,1.32510815173854,10.001029175087
-1,1.325,10,10,10,-1.0000156907081,1.32499768997909,9.99998256587989
0,1.325,10,10,10,1.62368486681985e-06,1.32500140854662,9.99999837631513
1,1.325,10,10,10,0.999994956459478,1.32499939248262,9.99999541496316
2,1.325,10,10,10,2,1.325,10
-2,2.55,10,10,10,-2,2.55,10
-1,2.55,10,10,10,-1,2.55,10
0,2.55,10,10,10,-2.75599401498379e-05,2.55001980373768,9.99997248488893
1,2.55,10,10,10,1.00001870687888,2.55001174265421,9.99998117112463
2,2.55,10,10,10,2.00276376782184,2.54948308726528,10.0310923878039
-2,3.775,10,10,10,-1.98814210861808,3.77977967444787,10.0421769372661
-1,3.775,10,10,10,-0.999970357762329,3.77501043513265,9.99997386885452
0,3.775,10,10,10,0,3.775,10
1,3.775,10,10,10,1.17296148274844,3.87051765799537,11.5769255208597
2,3.775,10,10,10,2,3.775,10
-2,5,10,10,10,-1.45566777857223,4.77186931856426,14.0804276795569
-1,5,10,10,10,-0.999999999999978,5.00000000000001,9.99999999999998
0,5,10,10,10,0,5,10
1,5,10,10,10,1.04732512879155,4.97898197693588,9.94650604206775
2,5,10,10,10,2.3283102633566,4.67645357840072,13.9023473213765
-2,0.1,5,100,10,-1.99999999839042,0.1000000013279,4.99999999932934
-1,0.1,5,100,10,-1.00000000071885,0.0999999999920128,4.99999999960064
0,0.1,5,100,10,-5.24584936253338e-11,0.100000000051934,4.99999999997377
1,0.1,5,100,10,1.00042826860931,0.0924705036226582,5.12550329070045
2,0.1,5,100,10,1.99692084600321,0.0999743403833601,5.02437663580794
-2,1.325,5,100,10,-2,1.325,5
-1,1.325,5,100,10,-0.999994823312878,1.32499937644451,4.9999976469604
0,1.325,5,100,10,0.00319933011485604,1.33079376191352,5.04475346749721
1,1.325,5,100,10,0.999995661483888,1.32499947740601,5.00003746900278
2,1.325,5,100,10,2,1.325,5
-2,2.55,5,100,10,-1.97853066717338,2.5633288774632,5.1699655515441
-1,2.55,5,100,10,-1.09976249246927,2.69322153602691,5.93701192984367
0,2.55,5,100,10,0.000505324118256942,2.54987114234984,5.00480057912344
1,2.55,5,100,10,0.969592264858685,2.57059432970935,5.26261225803863
2,2.55,5,100,10,2,2.55,5
-2,3.775,5,100,10,-2,3.775,5
-1,3.775,5,100,10,-1,3.775,5
0,3.775,5,100,10,0,3.775,5
1,3.775,5,100,10,1,3.775,5
2,3.775,5,100,10,2,3.775,5
-2,5,5,100,10,-2,5,5
-1,5,5,100,10,-1,5,5
0,5,5,100,10,0,5,5
1,5,5,100,10,1,5,5
2,5,5,100,10,2,5,5
-2,0.1,6.25,100,10,-1.99999945726716,0.0999999954772263,6.24999971732665
-1,0.1,6.25,100,10,-1,0.1,6.25
0,0.1,6.25,100,10,-5.39481272751812e-07,0.0999997016228882,6.24999976495782
1,0.1,6.25,100,10,0.644808157678858,0.0392951991424814,6.38362257481415
2,0.1,6.25,100,10,1.96895531576327,0.0820329677489525,6.33253697250066
-2,1.325,6.25,100,10,-2.03881025782943,1.18899770573717,6.42614026907983
-1,1.325,6.25,100,10,-0.999999998330057,1.32499999979885,6.24999999905117
0,1.325,6.25,100,10,8.32400856876179e-05,1.32507221077433,6.24994797494645
1,1.325,6.25,100,10,1.00183956589195,1.32677313712363,6.2691621447078
2,1.325,6.25,100,10,1.52342348838692,1.34476387549022,4.04854527813491
-2,2.55,6.25,100,10,-2.00005075110081,2.55014539649096,6.25076292527525
-1,2.55,6.25,100,10,-0.999792996260539,2.55015427528645,6.24992435440458
0,2.55,6.25,100,10,-0.034222915106618,2.54127315664781,6.57083982912454
1,2.55,6.25,100,10,-0.0860250669546513,3.05960045809897,6.22311159394753
2,2.55,6.25,100,10,1.99968762571965,2.54994365174977,6.24984893122568
-2,3.775,6.25,100,10,-2.00000000001388,3.77499999999345,6.24999999998916
-1,3.775,6.25,100,10,-1,3.775,6.25
0,3.775,6.25,100,10,-0.0267197719056856,3.7649132861056,6.5004978616158
1,3.775,6.25,100,10,1.09959939638926,3.73575359756584,7.12806400320267
2,3.775,6.25,100,10,1.99772368909701,3.77455231555157,6.24904028350627
-2,5,6.25,100,10,-2,5,6.25
-1,5,6.25,100,10,-1,5,6.25
0,5,6.25,100,10,0,5,6.25
1,5,6.25,100,10,1,5,6.25
2,5,6.25,100,10,2,5,6.25
-2,0.1,7.5,100,10,-2,0.100000000000008,7.49999999999999
-1,0.1,7.5,100,10,-1,0.1,7.5
0,0.1,7.5,100,10,1.11856570755535e-07,0.0999999208426428,7.49999979561387
1,0.1,7.5,100,10,1.00083962844585,0.100110753834721,7.5074962583202
2,0.1,7.5,100,10,2.0000001001955,0.100000261788289,7.49999980167554
-2,1.325,7.5,100,10,-2.00004017345821,1.32504356309374,7.49996233738293
-1,1.325,7.5,100,10,-0.974241111136005,1.3795536779648,8.14257787453863
0,1.325,7.5,100,10,0.0193355697902797,1.34177360679307,7.67885402056009
1,1.325,7.5,100,10,1,1.325,7.5
2,1.325,7.5,100,10,2.00000000021889,1.32499999996375,7.49999999979479
-2,2.55,7.5,100,10,-2.00000006402459,2.54999997959216,7.49999993997695
-1,2.55,7.5,100,10,-1.00671608497072,2.5480971092583,7.56902642886576
0,2.55,7.5,100,10,0,2.55,7.5
1,2.55,7.5,100,10,0.999997228434149,2.55000187710596,7.49999811029601
2,2.55,7.5,100,10,2.00027556994816,2.54995305591195,7.49974165316811
-2,3.775,7.5,100,10,-1.99945383237776,3.77483596137747,7.49957942948973
-1,3.775,7.5,100,10,-0.298810862950396,3.20905054011708,8.03938615200006
0,3.775,7.5,100,10,0.00131705591674246,3.77556547109688,7.49947377726898
1,3.775,7.5,100,10,1.00201049210313,3.77410935328719,7.5563137244809
2,3.775,7.5,100,10,2,3.775,7.5
-2,5,7.5,100,10,-1.76691534484711,5.0971186063137,9.2966942168035
-1,5,7.5,100,10,-0.923646193665831,4.97409653250626,9.00656566741998
0,5,7.5,100,10,0,5,7.5
1,5,7.5,100,10,1,5,7.5
2,5,7.5,100,10,1.9995361479729,4.99980672832204,7.49971009248306
-2,0.1,8.75,100,10,-2,0.1,8.75
-1,0.1,8.75,100,10,-1,0.1,8.75
0,0.1,8.75,100,10,0.00010231120807948,0.100119592645226,8.75318493639877
1,0.1,8.75,100,10,1.03378867831246,0.0308408389873668,9.56922950088795
2,0.1,8.75,100,10,2.00000000003029,0.100000000037485,8.74999999996687
-2,1.325,8.75,100,10,-2.00000598751732,1.32500649431906,8.74999345072155
-1,1.325,8.75,100,10,-1.00032479523693,1.32531306651904,8.74968422685059
0,1.325,8.75,100,10,5.61009096865328e-07,1.32500048667539,8.74999950911704
1,1.325,8.75,100,10,1.00001357641878,1.32499800124946,8.74998680070396
2,1.325,8.75,100,10,2,1.325,8.75
-2,2.55,8.75,100,10,-1.99999999997784,2.55000000001376,8.74999999998384
-1,2.55,8.75,100,10,-0.993742371800918,2.5549412144612,8.8015735691484
0,2.55,8.75,100,10,-0.00375346705297821,2.55228086087866,8.79978448845138
1,2.55,8.75,100,10,1.00020373712222,2.5518691308711,8.76207923934845
2,2.55,8.75,100,10,2.28204210024854,2.92744920368884,9.23804254372597
-2,3.775,8.75,100,10,-1.97014500737232,3.76560811690254,8.97702233977297
-1,3.775,8.75,100,10,-0.9999891979479,3.77499629293212,8.74999140745856
0,3.775,8.75,100,10,-0.136828413546683,4.3751455445679,10.6516043879511
1,3.775,8.75,100,10,1,3.775,8.75
2,3.775,8.75,100,10,2.00000665281722,3.7750051767234,8.74999272348117
-2,5,8.75,100,10,-2,5,8.75
-1,5,8.75,100,10,-1.00935645882246,5.00520510506048,8.84479366705518
0,5,8.75,100,10,3.33432129374479e-06,5.00000166716065,8.74999708246887
1,5,8.75,100,10,0.322484541435469,4.70228706333345,14.2359785035822
2,5,8.75,100,10,2,5,8.75
-2,0.1,10,100,10,-2.00000290531601,0.100004305772906,9.99999563191299
-1,0.1,10,100,10,-3.0479386006906,2.35273246075966,27.9988093222905
0,0.1,10,100,10,-0.0120801125846792,0.100050443213825,9.98807068135325
1,0.1,10,100,10,1.0000730283101,0.0999991885743322,10.000730283101
2,0.1,10,100,10,2,0.1,10
-2,1.325,10,100,10,-1.99971424706638,1.32520657555827,9.99976187255531
-1,1.325,10,100,10,-1.00019392994603,1.32518692692021,9.99978452228218
0,1.325,10,100,10,-0.00935370723757159,1.33311344433145,10.0820229248468
1,1.325,10,100,10,1.06318616231202,1.45119778931331,10.8786468239041
2,1.325,10,100,10,1.99947304189951,1.32494181504307,9.9995608682496
-2,2.55,10,100,10,-1.99073404443234,2.54752524631367,10.0675068474936
-1,2.55,10,100,10,-0.953407188179919,2.48964414465616,10.2577372600066
0,2.55,10,100,10,3.08955143242728e-05,2.55002301715817,9.99996910448568
1,2.55,10,100,10,1.00001442125731,2.54999567916412,9.99998366390341
2,2.55,10,100,10,2.00785653320525,2.55244879517034,10.0989727096482
-2,3.775,10,100,10,-2,3.775,10
-1,3.775,10,100,10,-1.00027110021468,3.780894827251,10.0662905196885
0,3.775,10,100,10,-0.140834441757116,3.72183499823669,11.267509975814
1,3.775,10,100,10,0.932919878643902,3.74593356338424,9.92758779824629
2,3.775,10,100,10,1.99999999917917,3.77500000042581,9.99999999931597
-2,5,10,100,10,-1.33031103655818,5.85417430193265,10.2191586420518
-1,5,10,100,10,-1.05378453860966,4.97011970077241,10.5378453860966
0,5,10,100,10,-0.000481156031580683,5.00024057801579,9.99951884396842
1,5,10,100,10,1.00011511102137,5.00003651893154,9.99990533679376
2,5,10,100,10,2,5,10
-2,0.1,5,10,100,-2.00000026616764,0.10000010696338,4.99999983364523
-1,0.1,5,10,100,-1.00000005532336,0.0999994814240943,4.99999976085069
0,0.1,5,10,100,0.121191111872026,0.0988553437244727,5.13429809207423
1,0.1,5,10,100,1.00000000000039,0.0999999999999957,4.99999999999979
2,0.1,5,10,100,1.84903914517511,0.000908762585065098,4.80925374768127
-2,1.325,5,10,100,4.00008627367445,0.66250312434409,2.49995273828995
-1,1.325,5,10,100,-1.00015430874705,1.32497574747402,4.99990197348201
0,1.325,5,10,100,0.0102604679482138,1.32364048799686,5.09747444550803
1,1.325,5,10,100,0.999981464019039,1.32499781767401,4.99999144434339
2,1.325,5,10,100,2,1.325,5
-2,2.55,5,10,100,-2.00023587590246,2.54981686017301,4.99971911924996
-1,2.55,5,10,100,-0.999747186484763,2.55017122369896,4.9998850847658
0,2.55,5,10,100,0.187457080951311,2.41824995705652,7.4834533263497
1,2.55,5,10,100,1,2.55,5
2,2.55,5,10,100,2,2.55,5
-2,3.775,5,10,100,-2,3.775,5
-1,3.775,5,10,100,-1,3.775,5
0,3.775,5,10,100,0,3.775,5
1,3.775,5,10,100,1,3.775,5
2,3.775,5,10,100,2,3.775,5
-2,5,5,10,100,-2,5,5
-1,5,5,10,100,-1,5,5
0,5,5,10,100,0,5,5
1,5,5,10,100,1,5,5
2,5,5,10,100,2,5,5
-2,0.1,6.25,10,100,-2,0.1,6.25
-1,0.1,6.25,10,100,-1,0.1,6.25
0,0.1,6.25,10,100,7.35233589273821e-24,0.1,6.25
1,0.1,6.25,10,100,1.00000041827459,0.100000460102054,6.250001141579
2,0.1,6.25,10,100,1.99999890855322,0.100000900443593,6.24999943153814
-2,1.325,6.25,10,100,-1.99999745772902,1.32499971929091,6.24999867590053
-1,1.325,6.25,10,100,-1.00011534021975,1.32511117515626,6.24991990262518
0,1.325,6.25,10,100,-1.87052801340751e-06,1.32499975215504,6.24999883091999
1,1.325,6.25,10,100,0.999844625815393,1.32511643159199,6.24993510695862
2,1.325,6.25,10,100,2.00001528019925,1.32501670029944,6.24998799736519
-2,2.55,6.25,10,100,-2.02996623966638,2.53476674635516,6.49171294816689
-1,2.55,6.25,10,100,-1.00010706473577,2.54996961225998,6.24992545923688
0,2.55,6.25,10,100,0.190363198081982,2.67430354809723,7.91258625758828
1,2.55,6.25,10,100,1.00000014201074,2.55000011755333,6.24999990138143
2,2.55,6.25,10,100,1.99973759285319,2.55016291110351,6.24986332961126
-2,3.775,6.25,10,100,-1.99803700694301,3.77601840786457,6.26533772762162
-1,3.775,6.25,10,100,-0.99824542449023,3.77439410698882,6.26492886801087
0,3.775,6.25,10,100,0.00982670625000829,3.7869968062847,6.29584568329138
1,3.775,6.25,10,100,0.999779459226129,3.77492654706187,6.24987738416576
2,3.775,6.25,10,100,2.00404938994415,3.76960412183068,6.29363357189055
-2,5,6.25,10,100,-2,5,6.25
-1,5,6.25,10,100,-1,5,6.25
0,5,6.25,10,100,0,5,6.25
1,5,6.25,10,100,1,5,6.25
2,5,6.25,10,100,2,5,6.25
-2,0.1,7.5,10,100,-2.00000035992174,0.100000445403148,7.49999966257337
-1,0.1,7.5,10,100,-0.443273077740605,0.0949205706557166,12.1833867240145
0,0.1,7.5,10,100,-0.00184709991452909,0.0993459364248908,7.51347757786044
1,0.1,7.5,10,100,1,0.1,7.5
2,0.1,7.5,10,100,1.28319064469879,0.263028073950637,9.81566452446217
-2,1.325,7.5,10,100,-2,1.325,7.5
-1,1.325,7.5,10,100,0.0749853377819181,1.20808453801222,16.5149005315128
0,1.325,7.5,10,100,0.000214047998043542,1.32518177042855,7.49984252270629
1,1.325,7.5,10,100,1.0000012349649,1.32499981818572,7.49999897086258
2,1.325,7.5,10,100,1.99966887698958,1.32497320764506,7.49984514132863
-2,2.55,7.5,10,100,-1.9908802796378,2.54806205942349,7.57029784446306
-1,2.55,7.5,10,100,-1.00026487947049,2.55021925717956,7.49977926640411
0,2.55,7.5,10,100,1.27914939624239e-11,2.55000000000953,7.49999999999041
1,2.55,7.5,10,100,1.00029166259172,2.54999213607088,7.49980445275598
2,2.55,7.5,10,100,2.00000011509255,2.54999990612052,7.49999991501893
-2,3.775,7.5,10,100,-1.99987225251944,3.77524097918881,7.50003041748091
-1,3.775,7.5,10,100,-0.619285227823166,3.81761660631929,11.4666224118368
0,3.775,7.5,10,100,0.00029511871017811,3.77521689238383,7.49986588662627
1,3.775,7.5,10,100,1.18987748296559,3.71875149601334,9.31941816158138
2,3.775,7.5,10,100,2.51815571092124,4.17818991256059,13.4911754075268
-2,5,7.5,10,100,-2.00360336032523,4.99770642955392,7.54100012631197
-1,5,7.5,10,100,-0.999970113527862,5.00001358476006,7.49997962285991
0,5,7.5,10,100,-0.000925034024969347,4.99953748298751,7.50855656473097
1,5,7.5,10,100,1.00016260626481,4.99990966318621,7.49986449477932
2,5,7.5,10,100,2,5,7.5
-2,0.1,8.75,10,100,-2.00000000017304,0.10000000021414,8.74999999981073
-1,0.1,8.75,10,100,-1.06157654915919,0.350233423890691,8.05187186839108
