"","ld2","Var1","Var2","Var3"
"1",110.930555450955,0,0.1,5
"2",109.321117538521,0.2,0.1,5
"3",110.01426471908,0.4,0.1,5
"4",110.419729827189,0.6,0.1,5
"5",110.70741189964,0.8,0.1,5
"6",110.930555450955,1,0.1,5
"7",111.112877007749,1.2,0.1,5
"8",111.267027687576,1.4,0.1,5
"9",111.4005590802,1.6,0.1,5
"10",111.518342115857,1.8,0.1,5
"11",111.623702631515,2,0.1,5
"12",121.003214990403,0,0.2,5
"13",119.393777077969,0.2,0.2,5
"14",120.086924258529,0.4,0.2,5
"15",120.492389366637,0.6,0.2,5
"16",120.780071439089,0.8,0.2,5
"17",121.003214990403,1,0.2,5
"18",121.185536547197,1.2,0.2,5
"19",121.339687227024,1.4,0.2,5
"20",121.473218619649,1.6,0.2,5
"21",121.591001655305,1.8,0.2,5
"22",121.696362170963,2,0.2,5
"23",127.985135081641,0,0.3,5
"24",126.375697169206,0.2,0.3,5
"25",127.068844349766,0.4,0.3,5
"26",127.474309457875,0.6,0.3,5
"27",127.761991530326,0.8,0.3,5
"28",127.985135081641,1,0.3,5
"29",128.167456638434,1.2,0.3,5
"30",128.321607318262,1.4,0.3,5
"31",128.455138710886,1.6,0.3,5
"32",128.572921746543,1.8,0.3,5
"33",128.6782822622,2,0.3,5
"34",132.956824438692,0,0.4,5
"35",131.347386526258,0.2,0.4,5
"36",132.040533706818,0.4,0.4,5
"37",132.445998814926,0.6,0.4,5
"38",132.733680887378,0.8,0.4,5
"39",132.956824438692,1,0.4,5
"40",133.139145995486,1.2,0.4,5
"41",133.293296675314,1.4,0.4,5
"42",133.426828067938,1.6,0.4,5
"43",133.544611103594,1.8,0.4,5
"44",133.649971619252,2,0.4,5
"45",136.430399208122,0,0.5,5
"46",134.820961295687,0.2,0.5,5
"47",135.514108476247,0.4,0.5,5
"48",135.919573584356,0.6,0.5,5
"49",136.207255656807,0.8,0.5,5
"50",136.430399208122,1,0.5,5
"51",136.612720764915,1.2,0.5,5
"52",136.766871444743,1.4,0.5,5
"53",136.900402837367,1.6,0.5,5
"54",137.018185873024,1.8,0.5,5
"55",137.123546388681,2,0.5,5
"56",138.706606745133,0,0.6,5
"57",137.097168832699,0.2,0.6,5
"58",137.790316013259,0.4,0.6,5
"59",138.195781121367,0.6,0.6,5
"60",138.483463193819,0.8,0.6,5
"61",138.706606745133,1,0.6,5
"62",138.888928301927,1.2,0.6,5
"63",139.043078981754,1.4,0.6,5
"64",139.176610374379,1.6,0.6,5
"65",139.294393410035,1.8,0.6,5
"66",139.399753925693,2,0.6,5
"67",139.983339266001,0,0.7,5
"68",138.373901353567,0.2,0.7,5
"69",139.067048534127,0.4,0.7,5
