"","r2","l2"
"1",1.18236562010575,1
"2",0.863816779234557,0.8
"3",0.799619498227214,0.666666666666667
"4",0.747822569883972,0.571428571428571
"5",0.67277014457873,0.5
"6",0.573306742679584,0.444444444444444
"7",0.43995335610812,0.4
"8",0.420676986069004,0.363636363636364
"9",0.352976708847458,0.333333333333333
"10",0.322954120977865,0.307692307692308
"11",0.288258047890729,0.285714285714286
"12",0.239514731951872,0.266666666666667
"13",0.227271170912151,0.25
"14",0.245413867570373,0.235294117647059
"15",0.231875954805724,0.222222222222222
"16",0.207162828413332,0.210526315789474
"17",0.185928471677354,0.2
"18",0.236705229201896,0.19047619047619
"19",0.261926301947912,0.181818181818182
"20",0.244091156553681,0.173913043478261
"21",0.177638577356288,0.166666666666667
"22",0.217808541919502,0.16
"23",0.239928531170065,0.153846153846154
"24",0.262388709422196,0.148148148148148
"25",0.260846094517396,0.142857142857143
"26",0.97275204799452,1
"27",0.932404755625746,0.8
"28",0.883305505755919,0.666666666666667
"29",0.607906301040222,0.571428571428571
"30",0.515498842624397,0.5
"31",0.462967708525488,0.444444444444444
"32",0.40074287641573,0.4
"33",0.377339530106042,0.363636363636364
"34",0.326271501145193,0.333333333333333
"35",0.325569579748086,0.307692307692308
"36",0.233232917529071,0.285714285714286
"37",0.25431306097202,0.266666666666667
"38",0.268898667454615,0.25
"39",0.248504104141914,0.235294117647059
"40",0.214692844620002,0.222222222222222
"41",0.186950130584659,0.210526315789474
"42",0.238391743264863,0.2
"43",0.254441377542465,0.19047619047619
"44",0.241999386463332,0.181818181818182
"45",0.287433079240807,0.173913043478261
"46",0.192535920457353,0.166666666666667
"47",0.248334022930611,0.16
"48",0.262508621927394,0.153846153846154
"49",0.27406666818431,0.148148148148148
"50",0.346881228473838,0.142857142857143
"51",1.04473532284603,1
"52",1.04163744489019,0.8
"53",0.815275270423492,0.666666666666667
"54",0.665723654069473,0.571428571428571
"55",0.573649269133628,0.5
"56",0.443399320927826,0.444444444444444
"57",0.444557737234105,0.4
"58",0.369663103881497,0.363636363636364
"59",0.397707447582,0.333333333333333
"60",0.362661578627922,0.307692307692308
"61",0.345476203778659,0.285714285714286
"62",0.279179541299264,0.266666666666667
"63",0.275734013871385,0.25
"64",0.23705750043744,0.235294117647059
"65",0.258422464809725,0.222222222222222
"66",0.229719799097799,0.210526315789474
"67",0.23501167567857,0.2
"68",0.151869019853086,0.19047619047619
"69",0.222588866932197,0.181818181818182
"70",0.260490995221335,0.173913043478261
"71",0.321342381870697,0.166666666666667
"72",0.305366990433823,0.16
"73",0.259142149357023,0.153846153846154
"74",0.353360250496057,0.148148148148148
"75",0.343044416666916,0.142857142857143
"76",1.10987371812725,1
"77",0.973752480572998,0.8
"78",0.73884315127372,0.666666666666667
"79",0.777469446867744,0.571428571428571
"80",0.582486024465539,0.5
"81",0.509964270466583,0.444444444444444
"82",0.475165229641335,0.4
"83",0.291149878551098,0.363636363636364
"84",0.398568522399242,0.333333333333333
"85",0.281611865143856,0.307692307692308
"86",0.372597181675078,0.285714285714286
"87",0.271340752867262,0.266666666666667
"88",0.232106520356543,0.25
"89",0.232955388512509,0.235294117647059
"90",0.208352241714514,0.222222222222222
"91",0.213762873330618,0.210526315789474
"92",0.181235332736928,0.2
"93",0.202552490512023,0.19047619047619
"94",0.253242733263387,0.181818181818182
"95",0.220318173701481,0.173913043478261
"96",0.265959061161065,0.166666666666667
"97",0.325839787114317,0.16
"98",0.268675133968135,0.153846153846154
"99",0.280387599304135,0.148148148148148
"100",0.289110955369807,0.142857142857143
"101",1.05161961123402,1
"102",1.09601867430349,0.8
"103",0.669861865686033,0.666666666666667
"104",0.639510465105851,0.571428571428571
"105",0.562814844726045,0.5
"106",0.448529248711268,0.444444444444444
"107",0.389361068819223,0.4
"108",0.450835676509705,0.363636363636364
"109",0.38792460500366,0.333333333333333
"110",0.371636448123323,0.307692307692308
"111",0.271036947953404,0.285714285714286
"112",0.354955162076605,0.266666666666667
"113",0.266174819313688,0.25
"114",0.212142213172459,0.235294117647059
"115",0.258533449418305,0.222222222222222
"116",0.226678740959246,0.210526315789474
"117",0.185669397581002,0.2
"118",0.20623525868367,0.19047619047619
"119",0.312433053542327,0.181818181818182
"120",0.212473155218539,0.173913043478261
"121",0.308320972410106,0.166666666666667
"122",0.302225744492601,0.16
