"","x"
"167",-26.2935266445285
"168",-26.327024538139
"169",-26.3880735428338
"170",-26.4656793745674
"171",-26.5708115855102
"172",-26.7031039405767
"173",-26.8686153322611
"174",-27.0409519741897
"175",-27.2913316812383
"176",-27.5163113576616
"177",-26.2886550240363
"178",-26.2999902908714
"179",-26.3382654380647
"180",-26.3934463489019
"181",-26.476383818553
"182",-26.598131621567
"183",-26.7346864027757
"184",-26.836626410091
"185",-27.0348846628275
"186",-27.3230212281844
"187",-27.5719230994292
"188",-26.2968323217826
"189",-26.3094460220816
"190",-26.3409747628422
"191",-26.3989411034694
"192",-26.4820939592249
"193",-26.6029956475453
"194",-26.7104766712083
"195",-26.8887763561633
"196",-27.0688288727515
"197",-27.2892865865841
"198",-27.5556279557917
"199",-26.3059877458138
"200",-26.3168401855876
"201",-26.3564364402014
"202",-26.4124102314179
"203",-26.5078738155559
"204",-26.6096614196975
"205",-26.7691298821338
"206",-26.891336833937
"207",-27.1025657750863
"208",-27.3740454691448
"209",-27.5732259097631
"210",-26.3160652133352
"211",-26.3273151567472
"212",-26.3606628670775
"213",-26.4255845828494
"214",-26.5138761006652
"215",-26.5973032288131
"216",-26.7227189147068
"217",-26.8986012271345
"218",-27.105810995302
"219",-27.310280085217
"220",-27.5597244838301
"221",-26.3270134636455
"222",-26.3386642780481
"223",-26.3736814725177
"224",-26.4358948800768
"225",-26.5056891679895
"226",-26.612665593257
"227",-26.7737795631863
"228",-26.9342114433724
"229",-27.0646320286417
"230",-27.3566937724929
"231",-27.6145856752684
"232",-23.4326022124915
"233",-23.4419393766664
"234",-23.4780498130831
"235",-23.5254722742085
"236",-23.5876604377461
"237",-23.7080175427206
"238",-23.7890415923092
"239",-23.9909839453423
"240",-24.0849570151719
"241",-24.3204100056812
"242",-24.4727487705431
"243",-23.4116648075046
"244",-23.4233463664034
"245",-23.4601626352898
"246",-23.5027193065219
"247",-23.579292242961
"248",-23.6743069905347
"249",-23.8026149291017
"250",-23.9676260871073
"251",-24.1383494627779
"252",-24.2766581805733
"253",-24.4957911764746
"254",-23.3939497938019
"255",-23.4054930337073
"256",-23.4398113037717
"257",-23.486244892219
"258",-23.5718067840686
"259",-23.6788419787067
"260",-23.7931125305489
"261",-23.9246553197902
"262",-24.1218699896923
"263",-24.3466408094904
"264",-24.4695895702857
"265",-23.3791236572949
"266",-23.3917720779411
"267",-23.4235210916203
"268",-23.4693207447699
"269",-23.5428906498766
"270",-23.6553070968748
"271",-23.7638141367131
"272",-23.9228881270403
"273",-24.0883322962728
"274",-24.2174412760796
"275",-24.4839931076167
"276",-23.3669024765655
"277",-23.3771389646401
"278",-23.4120210560491
"279",-23.460203514222
"280",-23.5530113498616
"281",-23.6557524377951
"282",-23.7492337668298
"283",-23.9022284522758
"284",-24.0860156259793
"285",-24.2341489944403
"286",-24.4833054913681
"287",-23.3570425538817
"288",-23.3695057409036
"289",-23.4036717595374
"290",-23.4556464214191
"291",-23.5319174013455
"292",-23.6285173252084
"293",-23.7492849107327
"294",-23.8886618514947
"295",-24.0496736774049
"296",-24.2774394663017
"297",-24.5288638711594
"298",-23.349333159261
"299",-23.3611807879067
"300",-23.3922430782414
"301",-23.4449061983753
"302",-23.5223190376805
"303",-23.6234782451981
"304",-23.7382477069874
"305",-23.8655420731894
"306",-24.0803971944521
"307",-24.2354602031036
"308",-24.4645433909098
"309",-23.343590840298
"310",-23.3543060756102
"311",-23.3877984684683
"312",-23.4329405748799
"313",-23.516718143151
"314",-23.6045934257049
"315",-23.7214851748989
"316",-23.8777005965522
"317",-24.005542717457
"318",-24.2030570136105
"319",-24.4766769964376
"320",-23.3396549090206
"321",-23.3506791413312
"322",-23.3823118793439
"323",-23.4374785238386
"324",-23.5089702580855
"325",-23.6181185568786
"326",-23.7245022553127
"327",-23.8494003691916
"328",-24.062225314675
"329",-24.2321392602059
"330",-24.4568685887661
"331",-23.3373838251811
"332",-23.3479970141838
"333",-23.3792399234097
"334",-23.4310225627953
"335",-23.5095039379176
"336",-23.5953271427126
"337",-23.7268441925258
"338",-23.8695024513774
"339",-24.0339934283993
"340",-24.2484863108884
"341",-24.4957918468085
"342",-23.336652270451
"343",-23.3480882284978
"344",-23.3823894498717
"345",-23.4280868326968
"346",-23.5278093076995
"347",-23.6078959587142
"348",-23.7384350641948
"349",-23.8768788481469
"350",-24.0195108873209
"351",-24.2284958446897
"352",-24.4479120203561
"353",-23.3373487609516
"354",-23.3484951516834
"355",-23.3804236224084
"356",-23.4326022851917
"357",-23.5052802187919
"358",-23.5923521403258
"359",-23.719895245513
"360",-23.9076461249907
"361",-24.044661068696
"362",-24.2472751549471
"363",-24.4669702227693
"364",-23.3393736834635
"365",-23.3491745894465
"366",-23.3820048287393
"367",-23.4329253467951
"368",-23.5044544773502
"369",-23.6113602973815
"370",-23.7260833521989
"371",-23.9110450369899
"372",-24.0202527820599
"373",-24.1943232322624
"374",-24.408588523149
"375",-23.3426376681788
"376",-23.3535306241977
