"","x"
"1",-26.3718098877949
"2",-23.4326022124915
"3",-20.6314611592442
"4",-17.955898565643
"5",-15.3950643761119
"6",-12.9394684556612
"7",-10.5807599860557
"8",-8.31155044311635
"9",-6.1252700544895
"10",-4.01605031547195
"11",-1.97862702097094
"12",-0.00825961757726084
"13",1.89933634082212
"14",3.74804612716002
"15",5.54140411713235
"16",7.28263494939392
"17",8.97468879898608
"18",10.6202717508163
"19",12.2218720712512
"20",13.7817830275375
"21",15.302122787282
"22",-26.3480756668413
"23",-23.4116648075046
"24",-20.6128475164869
"25",-17.9392377689938
"26",-15.3800612399983
"27",-12.9258849719098
"28",-10.5684020101471
"29",-8.30025796044053
"30",-6.11490994505434
"31",-4.006510895396
"32",-1.96981386904004
"33",-9.23454727706909e-05
"34",1.9069266156979
"35",3.75511877913406
"36",5.54801060570528
"37",7.28882010128576
"38",8.9804918478124
"39",10.6257271864118
"40",12.2270103382369
"41",13.7866311035555
"42",15.3067046644828
"43",-26.3280815345138
"44",-23.3939497938019
"45",-20.5970391758044
"46",-17.9250412979183
"47",-15.3672400998235
"48",-12.9142470751606
"49",-10.5577896821901
"50",-8.29054051881395
"51",-6.10597812945867
"52",-3.99827262892571
"53",-1.96219099209442
"54",0.00698192951466381
"55",1.91350970842939
"56",3.76126033461256
"57",5.55375377181258
"58",7.29420256161156
"59",8.98554666290987
"60",10.6304834838132
"61",12.2314938821146
"62",13.790864767893
"63",15.3107088283458
"64",-26.3114127399507
"65",-23.3791236572949
"66",-20.5837639454754
"67",-17.9130841183106
"68",-15.3564127807788
"69",-12.9043958171512
"70",-10.548787526128
"71",-8.28228170976453
"72",-6.09837384904195
"73",-3.99124772235099
"74",-1.95568142858535
"75",0.0130310483288536
"76",1.91914572571798
"77",3.76652429865042
"78",5.55868145146406
"79",7.29882527087439
"80",8.98989193523147
"81",10.6345756272421
"82",12.2353544392057
"83",13.794512898939
"84",15.3141616324742
"85",-26.2977203555299
"86",-23.3669024765655
"87",-20.5727877073558
"88",-17.9031709110764
"89",-15.3474146386775
"90",-12.896191125015
"91",-10.5412753829343
"92",-8.27537768419699
"93",-6.09200674069423
"94",-3.98535706041136
"95",-1.95021551876109
"96",0.0181166642273198
"97",1.92388949601932
"98",3.77095964634583
"99",5.56283757094244
"100",7.30272777744777
"101",8.9935633982916
"102",10.6380360107069
"103",12.2386214675633
"104",13.7976023631735
"105",15.3170876471021
"106",-26.2867080463148
"107",-23.3570425538817
"108",-20.5639076318626
"109",-17.8951310607635
"110",-15.3401007936002
"111",-12.8895089263984
"112",-10.5351461854754
"113",-8.2697354084291
"114",-6.08679545439568
"115",-3.98052909900613
"116",-1.94573000934568
"117",0.0222949730257851
"118",1.92779116993321
"119",3.7746113201307
"120",5.56626256153216
"121",7.30594658566146
"122",8.9965941220591
"123",10.6408946875202
"124",12.2413223599193
"125",13.8001581977924
"126",15.3195098164347
"127",-26.278122005251
"128",-23.349333159261
"129",-20.556946840144
"130",-17.8888146580369
"131",-15.3343430881982
"132",-12.8842388018968
"133",-10.5303041233164
"134",-8.26527121280331
"135",-6.08266649319113
"136",-3.97669892905984
"137",-1.94216729137299
"138",0.0256173386976442
"139",1.93089673758208
"140",3.7775206606399
"141",5.56899372067514
"142",7.30851546035374
"143",8.99901477122679
"144",10.6431795904773
"145",12.2434826323192
"146",13.80220377307
"147",15.32144959901
"148",-26.2717431864946
"149",-23.343590840298
"150",-20.551750158132
"151",-17.8840892794093
"152",-15.3300276095248
"153",-12.8802820528395
"154",-10.5266631182368
"155",-8.26190957588009
"156",-6.07955323398701
"157",-3.97380748074515
"158",-1.93947474809689
"159",0.0281308318220793
"160",1.93324847638075
"161",3.7797257815298
"162",5.57106552764821
"163",7.3104656942627
"164",9.00085383291637
"165",10.6449167267385
"166",12.2451260917003
"167",13.8037609370981
"168",15.3229270932349
"169",-26.2673812345867
"170",-23.3396549090206
"171",-20.5481807049601
"172",-17.8808373696436
"173",-15.3270526535735
"174",-12.877550099244
"175",-10.5241455493918
"176",-8.25958209976666
"177",-6.07739509636827
"178",-3.97180084354383
"179",-1.93760419443406
"180",0.0298786950568541
"181",1.93488534014274
"182",3.78126189677325
"183",5.57250992046715
"184",7.31182634357007
"185",9.00213781806001
"186",10.6461303508259
"187",12.2462749851726
"188",13.8048501451481
"189",15.3239611499354
"190",-26.2648696836613
"191",-23.3373838251811
"192",-20.5461171264097
"193",-17.8789540963493
"194",-15.3253270408855
"195",-12.8759631424698
"196",-10.5226811806131
"197",-8.25822664161889
"198",-6.07613683337022
"199",-3.97062968248274
"200",-1.93651139294241
"201",0.0309007471908215
"202",1.93584329850974
"203",3.78216160748432
"204",5.57335653959396
"205",7.31262443604225
"206",9.00289144002637
"207",10.6468431186185
"208",12.2469501333489
"209",13.8054905755771
"210",15.3245694735005
"211",-26.264062120617
"212",-23.336652270451
"213",-20.5454513323575
"214",-17.8783455781075
