"","x"
"115",-26.5572461369813
"116",-26.5825017195051
"117",-26.5571359616588
"118",-26.5670441852731
"119",-26.5602904717212
"120",-26.5567479580367
"121",-26.5859961784445
"122",-26.5972821173007
"123",-26.6042245736291
"124",-26.5993982163047
"125",-26.6240220303283
"126",-26.6342731888037
"127",-26.8209263115958
"128",-26.799298762317
"129",-26.7900948804364
"130",-26.7535101095463
"131",-26.7431877967287
"132",-26.7121616145004
"133",-26.7065269796066
"134",-26.695718360774
"135",-26.7056540984155
"136",-26.6781120438593
"137",-26.6879617032148
"138",-26.6842115013343
"139",-26.680385650274
"140",-26.690142780228
"141",-26.7117727029187
"142",-26.6984748567423
"143",-26.7287926502672
"144",-26.7303817174376
"145",-26.7595018607724
"146",-26.7354001054857
"147",-26.7600810132417
"148",-26.9622084503728
"149",-26.974352372929
"150",-26.9233152525371
"151",-26.849287068933
"152",-26.89674633457
"153",-26.887221368765
"154",-26.896804701993
"155",-26.8693952362388
"156",-26.8834946244235
"157",-26.8555526095014
"158",-26.8739999588069
"159",-26.8462522943416
"160",-26.8677119299831
"161",-26.8757095827977
"162",-26.8932533619796
"163",-26.8738017461078
"164",-26.86251894862
"165",-26.853162074387
"166",-26.9177774410868
"167",-26.8894037864593
"168",-26.8935247861469
"169",-27.1506264779043
"170",-27.1988444857199
"171",-27.0751475072435
"172",-27.0799475162204
"173",-27.1227120760696
"174",-27.0605555287662
"175",-26.9915410421328
"176",-27.0248033677219
"177",-27.017981459665
"178",-27.0500271041906
"179",-27.0328791000673
"180",-27.0520307969639
"181",-26.9987094737991
"182",-27.0638773010285
"183",-27.0586499590951
"184",-27.0532964894768
"185",-27.0360843762996
"186",-27.0788581371438
"187",-27.073324947268
"188",-27.0897976845838
"189",-27.0816874722929
"190",-27.3637045094388
"191",-27.4169018054734
"192",-27.2768312143779
"193",-27.3271999526282
"194",-27.3225783393711
"195",-27.299026231979
"196",-27.2802276056085
"197",-27.3047478948531
"198",-27.3044615491412
"199",-27.189137072759
"200",-27.2586558868151
"201",-27.2200619525274
"202",-27.2806904235338
"203",-27.2465141863541
"204",-27.2551178997955
"205",-27.2493688779287
"206",-27.2863957209758
"207",-27.2597363701338
"208",-27.3107933110202
"209",-27.3257191732185
"210",-27.2473927980101
"211",-27.6405758827173
"212",-27.6309748282826
"213",-27.6354309069533
"214",-27.592953783281
"215",-27.5670531234109
"216",-27.5171731184785
"217",-27.4291895475606
"218",-27.462064697746
"219",-27.4972063660596
"220",-27.5116155837309
"221",-27.5446919147359
"222",-27.5147821888383
"223",-27.5246955120978
"224",-27.5169730123418
"225",-27.4341801586458
"226",-27.5432634229933
"227",-27.5422129387154
"228",-27.5166057724551
"229",-27.5877979602001
"230",-27.5797868692725
"231",-27.6285133380879
"232",-23.4326022124915
"233",-23.4116648075046
"234",-23.3939497938019
"235",-23.3791236572949
"236",-23.3669024765655
"237",-23.3570425538817
"238",-23.349333159261
"239",-23.343590840298
"240",-23.3396549090206
"241",-23.3373838251811
"242",-23.336652270451
"243",-23.3373487609516
"244",-23.3393736834635
"245",-23.3426376681788
"246",-23.34706023107
"247",-23.3525686339876
"248",-23.3590969218804
"249",-23.3665851051077
"250",-23.3749784613686
"251",-23.384226936847
"252",-23.3942846301175
"253",-23.4437401910981
"254",-23.4220947706606
"255",-23.4048118548143
"256",-23.3900604251728
"257",-23.3785145064044
"258",-23.3679602572617
"259",-23.3609982624345
"260",-23.3541351230033
"261",-23.3495523283867
"262",-23.3480247959664
"263",-23.3476993962458
"264",-23.3477165373187
"265",-23.3505844945758
"266",-23.3526708254189
"267",-23.3583546948328
"268",-23.3635990614343
"269",-23.3699158049842
"270",-23.3758134236979
"271",-23.3851485074637
"272",-23.3939817221714
"273",-23.4048471540703
"274",-23.4869232522379
"275",-23.4516880403426
"276",-23.437131442916
"277",-23.4200110978493
"278",-23.4122810855987
"279",-23.4002300147151
"280",-23.391261929951
"281",-23.3858557677405
"282",-23.3832831639488
"283",-23.3819924731226
"284",-23.3823659461895
"285",-23.3804072103786
"286",-23.3818090110561
"287",-23.3862851657124
"288",-23.3911807715148
"289",-23.3949390685212
"290",-23.4025706424078
"291",-23.4086114517172
"292",-23.4204018243108
"293",-23.4258819219172
"294",-23.4361176669133
"295",-23.5279700942071
"296",-23.5212556843622
"297",-23.4861411287031
"298",-23.4685450652825
"299",-23.4625303242457
"300",-23.4549351968744
"301",-23.4440202423674
"302",-23.4394693239788
"303",-23.4331878423058
"304",-23.4354683458307
"305",-23.4349468769237
"306",-23.4349048468508
"307",-23.4346894428784
"308",-23.4358022064085
"309",-23.4415452356645
"310",-23.449230681455
"311",-23.4538827615122
"312",-23.464205031168
"313",-23.471000668946
"314",-23.480569815932
"315",-23.4866837284068
"316",-23.590092591205
"317",-23.5928630751085
"318",-23.5598296399972
"319",-23.556102586571
"320",-23.536311765306
"321",-23.5341602447907
"322",-23.5223479337552
"323",-23.5172848813529
"324",-23.5180779946649
"325",-23.5003446582903
"326",-23.5030881634646
"327",-23.5121708015967
"328",-23.5133310330025
"329",-23.5210996721468
"330",-23.5259625260197
"331",-23.5242819968619
"332",-23.5273413675106
"333",-23.5446506841699
"334",-23.5618020641883
"335",-23.5585104603475
"336",-23.5752267203545
"337",-23.6927124134579
"338",-23.6873954549683
"339",-23.6526114421726
"340",-23.6624223177189
"341",-23.6454221996767
"342",-23.6423224023192
"343",-23.620620948749
"344",-23.6152789090126
"345",-23.6065750217213
"346",-23.619008633284
"347",-23.6072732719289
"348",-23.6088075604718
"349",-23.6120630824889
"350",-23.6176644187514
"351",-23.6008759329756
"352",-23.6099504206726
"353",-23.6244327165141
"354",-23.626108551984
"355",-23.6581349148932
"356",-23.6497911686278
"357",-23.6505915753589
"358",-23.8100298368826
"359",-23.7924969549989
"360",-23.7995914055309
"361",-23.8027920701928
"362",-23.7523286181281
"363",-23.7546884667016
"364",-23.74580092167
"365",-23.7372993655803
"366",-23.7413955030442
"367",-23.7231127115618
"368",-23.7467394475058
"369",-23.7508781346191
"370",-23.7178614687629
"371",-23.7368255595372
"372",-23.721451766016
"373",-23.7535283345876
"374",-23.7451868249669
"375",-23.7658683223962
"376",-23.7641531325396
"377",-23.7608103025373
"378",-23.7797876229107
"379",-23.9909946202557
"380",-23.955122598104
"381",-23.9403585935481
"382",-23.9116967915591
"383",-23.9134457497807
"384",-23.9353740855524
"385",-23.8990789739429
"386",-23.882583601598
"387",-23.8734627178526
"388",-23.8494865318378
"389",-23.8795755174404
"390",-23.869378555489
"391",-23.9005952976488
"392",-23.8723901961903
"393",-23.9090068304918
"394",-23.8811415046364
"395",-23.8716990343437
"396",-23.8663555163398
"397",-23.9204567598407
"398",-23.9489979345603
"399",-23.9126657574917
"400",-24.0791846114901
"401",-24.086282827513
"402",-24.0941484036133
"403",-24.0787392357106
"404",-24.0650868498125
"405",-24.0215767046039
"406",-23.980234341021
"407",-24.0938580097167
"408",-24.0676456822572
"409",-24.043637619693
"410",-24.0337569479245
"411",-24.0442565399948
"412",-24.0613078219096
"413",-24.0361524362616
"414",-24.0587597472849
"415",-24.0377350936268
"416",-24.0771984772462
"417",-24.0534129278636
"418",-24.0952603934687
"419",-24.0767925796558
"420",-24.0843420540549
"421",-24.3489258617506
"422",-24.2923459109063
"423",-24.2209069707456
"424",-24.2543785249987
"425",-24.2476108038816
"426",-24.2471640243673
"427",-24.2327136152316
"428",-24.2725013596562
"429",-24.1989920851251
"430",-24.2236157829588
"431",-24.2412502402134
"432",-24.1962828266178
"433",-24.2006824390294
"434",-24.2461737319034
"435",-24.2698292523369
"436",-24.2255308174898
"437",-24.2889987198821
"438",-24.25723676437
"439",-24.2633557465787
"440",-24.2730382019744
"441",-24.3199162747104
"442",-24.4944932818348
"443",-24.5303777945095
"444",-24.5100829542448
"445",-24.6035588180703
"446",-24.4157113919625
"447",-24.4747853309136
"448",-24.4971208014116
"449",-24.5230418316517
"450",-24.4403713286091
"451",-24.4227827214427
"452",-24.4712171985091
"453",-24.4202463775026
"454",-24.4785813769351
"455",-24.4164246214521
"456",-24.4902076185137
"457",-24.4252788333472
"458",-24.5034060931059
"459",-24.4204273635007
"460",-24.5566151932766
"461",-24.5198358073505
"462",-24.5806189691905
"463",-20.6314611592442
"464",-20.6128475164869
"465",-20.5970391758044
"466",-20.5837639454754
"467",-20.5727877073558
"468",-20.5639076318626
"469",-20.556946840144
"470",-20.551750158132
"471",-20.5481807049601
"472",-20.5461171264097
"473",-20.5454513323575
"474",-20.5460866319032
"475",-20.5479361851419
"476",-20.5509217091763
"477",-20.5549723898578
"478",-20.5600239612137
"479",-20.566017922479
"480",-20.572900868765
"481",-20.5806239161311
"482",-20.5891422055181
"483",-20.5984144729096
"484",-20.6427522265374
"485",-20.6209424327329
"486",-20.6060385331636
"487",-20.5944539054252
"488",-20.5826003774012
"489",-20.5735853608386
"490",-20.5657854958928
"491",-20.561781426494
"492",-20.5577594315005
"493",-20.5557308301832
"494",-20.5551020833193
"495",-20.5561979747421
"496",-20.5570396569979
"497",-20.5607996578159
"498",-20.5645730155969
"499",-20.5701887839084
"500",-20.5770529337987
"501",-20.583080039859
"502",-20.5913569806899
"503",-20.5982717415896
"504",-20.6078382166493
"505",-20.6739709580085
"506",-20.6531653889088
"507",-20.6330578377403
"508",-20.6214126927063
"509",-20.6110606346058
"510",-20.6032407204839
"511",-20.5964757882059
"512",-20.5916178445407
"513",-20.5900376892646
"514",-20.5858807789613
"515",-20.5867751334462
"516",-20.5879971130728
"517",-20.5862764810667
"518",-20.5898089092189
"519",-20.5952513228612
"520",-20.5989030173234
"521",-20.6055405303406
"522",-20.6123622055489
"523",-20.6198246557214
"524",-20.6270226987843
"525",-20.6386281126331
"526",-20.7260282853112
"527",-20.6939878355756
"528",-20.6908705632511
"529",-20.6693179007563
"530",-20.6579342836129
"531",-20.6541417419806
"532",-20.645667298564
"533",-20.6422810067865
"534",-20.6404902045161
"535",-20.6300321796524
"536",-20.6329779954863
"537",-20.636490106938
"538",-20.6339855284465
"539",-20.6336866461241
"540",-20.6414699146205
"541",-20.6467479835552
"542",-20.6501942137965
"543",-20.6610836104576
"544",-20.6653439049312
"545",-20.6736462728079
"546",-20.6829247226978
"547",-20.793062736979
"548",-20.785437295783
"549",-20.7443847873309
"550",-20.7428772951725
"551",-20.7381991331786
"552",-20.7223591740094
"553",-20.7109779628415
"554",-20.7100338981986
"555",-20.7075334760618
"556",-20.7044380623007
"557",-20.7033578938907
"558",-20.7040105770677
"559",-20.7126090761024
"560",-20.7149552845381
"561",-20.7136294015952
"562",-20.7143688753621
"563",-20.7216344666799
"564",-20.7351664550409
"565",-20.7461695946442
"566",-20.7386572978669
"567",-20.7609624244277
"568",-20.8962059413327
"569",-20.8696017101809
"570",-20.8597706073233
"571",-20.8295851150535
"572",-20.8206543292333
"573",-20.8107123439986
"574",-20.7951295517338
"575",-20.8103497751925
"576",-20.8078458487955
"577",-20.8080815289
"578",-20.7969297948677
"579",-20.7918872355988
"580",-20.8060114775272
"581",-20.7966329517609
"582",-20.8026840836554
"583",-20.8212061403284
"584",-20.8119090123137
"585",-20.8313348391755
"586",-20.8181400217368
"587",-20.8268338524143
"588",-20.8391800946103
"589",-20.9908334106028
"590",-21.009497807717
"591",-20.94051364772
"592",-20.9524446725751
"593",-20.9415879649182
"594",-20.931547529479
"595",-20.9321214215297
"596",-20.9082794632673
"597",-20.8922307914362
"598",-20.8989404569465
"599",-20.9019619583537
"600",-20.8918124599912
"601",-20.9120083505278
"602",-20.8862725659504
"603",-20.9096232506726
"604",-20.9115716419405
